day,value
1,4
2,3
3,0
4,0
5,4
6,5
7,3
8,3
9,4
10,2
11,1
12,2
13,6
14,0
15,1
16,3
17,3
18,5
19,1
20,4
21,3
22,4
23,3
24,5
25,9
26,6
27,1
28,2
29,4
30,6
31,3
32,3
33,9
34,12
35,15
36,19
37,9
38,8
39,8
40,20
41,9
42,26
43,24
44,28
45,15
46,16
47,18
48,26
49,53
50,32
51,28
52,28
53,21
54,25
55,28
56,38
57,46
58,32
59,29
60,25
61,60
62,41
63,56
64,52
65,41
66,30
67,30
68,53
69,68
70,45
71,68
72,66
73,43
74,43
75,73
76,75
77,123
78,93
79,81
80,50
81,66
82,105
83,91
84,86
85,83
86,98
87,67
88,75
89,92
90,112
91,107
92,148
93,103
94,108
95,73
96,116
97,123
98,129
99,122
100,91
101,86
102,68
103,112
104,93
105,113
106,96
107,79
108,66
109,53
110,67
111,67
112,52
113,49
114,37
115,43
116,27
117,42
118,39
119,43
120,38
121,41
122,26
123,41
124,41
125,47
126,48
127,48
128,70
129,17
130,30
131,37
132,47
133,35
134,27
135,15
136,24
137,14
138,18
139,23
140,36
141,25
142,23
143,19
144,13
145,24
146,36
147,28
148,12
149,19
150,27
151,9
152,12
153,33
154,36
155,23
156,27
157,12
158,13
159,14
160,19
161,25
162,9
163,14
164,12
165,8
166,24
167,23
168,22
169,19
170,22
171,29
172,11
173,21
174,32
175,48
176,29
177,41
178,26
179,31
180,53
181,62
182,71
183,53
184,51
185,33
186,36
187,76
188,84
189,68
190,83
191,76
192,64
193,66
194,79
195,113
196,112
197,128
198,105
199,101
200,67
201,144
202,129
203,128
204,175
205,151
206,115
207,72
208,94
209,104
210,101
211,94
212,72
213,59
214,58
215,41
216,63
217,81
218,125
219,110
220,122
221,61
222,140
223,198
224,196
225,138
226,145
227,103
228,82
229,170
230,224
231,215
232,201
233,151
234,144
235,101
236,164
237,174
238,159
239,149
240,135
241,113
242,55
243,104
244,158
245,109
246,109
247,100
248,89
249,48
250,83
251,93
252,92
253,39
254,46
255,43
256,41
257,79
258,63
259,58
260,58
261,36
262,31
263,18
264,9
265,39
266,53
267,33
268,29
269,24
270,9
271,23
272,33
273,24
274,14
275,12
276,9
277,5
278,16
279,10
280,6
281,12
282,7
283,10
284,1
285,7
286,6
287,7
288,10
289,7
290,7
291,3
292,8
293,9
294,6
295,3
296,5
297,4
298,0
299,5
300,3
301,1
302,2
303,1
304,0
305,0
306,5
307,2
308,3
309,2
310,1
311,3
312,3
313,7
314,1
315,0
316,5
317,4
318,0
319,3
320,2
321,1
322,0
323,1
324,3
325,4
326,1
327,3
328,6
329,6
330,1
331,2
332,3
333,2
334,3
335,10
336,5
337,6
338,2
339,2
340,4
341,3
342,12
343,10
344,15
345,8
346,6
347,5
348,14
349,9
350,12
351,16
352,10
353,16
354,6
355,9
356,17
357,18
358,17
359,19
360,21
361,19
362,27
363,26
364,27
365,24
366,37
367,29
368,15
369,57
370,71
371,49
372,35
373,59
374,40
375,38
376,60
377,51
378,58
379,56
380,68
381,42
382,42
383,59
384,58
385,73
386,60
387,86
388,74
389,72
390,121
391,132
392,92
393,118
394,112
395,94
396,76
397,136
398,135
399,123
400,133
401,136
402,140
403,91
404,198
405,196
406,164
407,160
408,194
409,147
410,111
411,197
412,224
413,230
414,218
415,216
416,164
417,110
418,207
419,249
420,254
421,220
422,228
423,217
424,173
425,318
426,473
427,435
428,432
429,537
430,500
431,441
432,892
433,1112
434,1276
435,1262
436,1365
437,1165
438,665
439,1477
440,2120
441,1164
442,1693
443,2150
444,1257
445,723
446,1792
447,1942
448,1919
449,1638
450,1582
451,1141
452,843
453,1673
454,1893
455,1892
456,1484
457,1503
458,1001
459,705
460,1469
461,1717
462,1482
463,1359
464,1225
465,844
466,403
467,978
468,1311
469,1110
470,819
471,869
472,596
473,293
474,544
475,987
476,616
477,461
478,331
479,112
480,169
481,326
482,439
483,283
484,297
485,217
486,133
487,127
488,322
489,421
490,245
491,243
492,228
493,201
494,139
495,305
496,377
497,406
498,386
499,441
500,342
501,272
502,650
503,794
504,755
505,743
506,830
507,632
508,398
509,1217
510,1518
511,1534
512,1237
513,1355
514,1056
515,595
516,1546
517,2413
518,1857
519,1821
520,1710
521,1327
522,845
523,1971
524,2786
525,2148
526,1784
527,1798
528,1192
529,703
530,1571
531,1680
532,1321
533,1127
534,1036
535,723
536,458
537,1020
538,1095
539,993
540,881
541,803
542,598
543,453
544,1167
545,1589
546,1207
547,1244
548,1189
549,1062
550,632
551,1812
552,2750
553,2585
554,2484
555,2387
556,1716
557,974
558,2996
559,3525
560,3640
561,3466
562,2647
563,1433
564,779
565,2602
566,3155
567,2551
568,2241
569,1767
570,766
571,438
572,1662
573,2024
574,1525
575,1158
576,870
577,371
578,153
579,960
580,1314
581,939
582,751
583,648
584,302
585,160
586,748
587,1025
588,552
589,530
590,157
591,114
592,76
593,78
594,436
595,301
596,236
597,166
598,53
599,53
600,296
601,320
602,207
603,163
604,137
605,32
606,28
607,228
608,273
609,196
610,148
611,161
612,38
613,28
614,191
615,205
616,193
617,120
618,128
619,32
620,23
621,115
622,120
623,78
624,66
625,62
626,8
627,9
628,63
629,81
630,30
631,8
632,24
633,7
634,11
635,73
636,82
637,34
638,51
639,48
640,15
641,3
642,16
643,106
644,112
645,76
646,64
647,12
648,20
649,105
650,95
651,92
652,94
653,85
654,36
655,21
656,180
657,244
658,150
659,149
660,118
661,45
662,33
663,212
664,239
665,201
666,168
667,139
668,28
669,22
670,201
671,249
672,148
673,126
674,123
675,27
676,34
677,211
678,269
679,166
680,108
681,206
682,23
683,30
684,179
685,184
686,138
687,92
688,83
689,29
690,17
691,125
692,108
693,81
694,62
695,64
696,13
697,4
698,79
699,89
700,59
701,51
702,38
703,20
704,12
705,79
706,83
707,59
708,43
709,41
710,9
711,11
712,68
713,69
714,51
715,46
716,33
717,11
718,6
719,98
720,85
721,51
722,44
723,60
724,19
725,16
726,94
727,123
728,89
729,100
730,97
731,33
732,22
733,214
734,205
735,198
736,126
737,127
738,40
739,20
740,214
741,205
742,197
743,156
744,111
745,38
746,24
747,212
748,189
749,134
750,101
751,99
752,41
753,27
754,134
755,228
756,132
757,122
758,86
759,34
760,12
761,29
762,165
763,171
764,150
765,113
766,25
767,16
768,159
769,145
770,92
771,105
772,91
773,26
774,17
775,98
776,73
777,55
778,34
779,40
780,23
781,7
782,73
783,65
784,44
785,40
786,30
787,12
788,9
789,19
790,83
791,83
792,51
793,29
794,14
795,9
796,69
797,81
798,58
799,44
800,45
801,4
802,9
803,81
804,69
805,12
806,72
807,46
808,12
809,6
810,81
811,79
812,77
813,54
814,42
815,19
816,12
817,82
818,84
819,55
820,44
821,37
822,16
823,11
824,58
825,44
826,39
827,26
828,31
829,9
830,5
831,24
832,28
833,20
834,20
835,16
836,6
837,0
838,20
839,18
840,12
841,13
842,5
843,2
844,0
845,3
846,12
847,9
848,5
849,6
850,7
851,2
852,7
853,18
854,6
855,5
856,8
857,4
858,1
859,14
860,17
861,9
862,9
863,7
864,2
865,3
866,16
867,16
868,7
869,10
870,10
871,5
872,0
