day,value
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,0
16,2
17,2
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,2
34,0
35,2
36,3
37,0
38,0
39,3
40,0
41,1
42,2
43,2
44,2
45,4
46,1
47,3
48,8
49,5
50,9
51,6
52,3
53,3
54,7
55,6
56,7
57,5
58,6
59,8
60,10
61,17
62,11
63,6
64,13
65,11
66,5
67,7
68,16
69,17
70,11
71,16
72,11
73,5
74,10
75,8
76,16
77,15
78,23
79,18
80,18
81,15
82,16
83,14
84,20
85,21
86,25
87,21
88,8
89,20
90,20
91,32
92,28
93,27
94,17
95,23
96,27
97,25
98,24
99,40
100,36
101,26
102,21
103,33
104,44
105,32
106,30
107,21
108,25
109,27
110,45
111,46
112,45
113,35
114,19
115,30
116,33
117,33
118,26
119,33
120,14
121,15
122,17
123,21
124,26
125,40
126,35
127,35
128,26
129,13
130,8
131,24
132,17
133,32
134,29
135,13
136,10
137,5
138,19
139,16
140,10
141,19
142,27
143,11
144,7
145,9
146,6
147,12
148,8
149,7
150,10
151,3
152,10
153,8
154,9
155,5
156,5
157,3
158,1
159,7
160,10
161,8
162,7
163,1
164,2
165,2
166,7
167,10
168,8
169,8
170,3
171,1
172,1
173,2
174,7
175,8
176,4
177,4
178,4
179,0
180,6
181,3
182,8
183,4
184,7
185,7
186,3
187,7
188,3
189,9
190,6
191,7
192,7
193,3
194,8
195,8
196,8
197,16
198,16
199,11
200,6
201,10
202,12
203,8
204,11
205,15
206,5
207,12
208,9
209,9
210,12
211,12
212,11
213,12
214,10
215,12
216,12
217,13
218,13
219,17
220,15
221,5
222,10
223,15
224,12
225,12
226,13
227,10
228,13
229,5
230,14
231,12
232,11
233,12
234,13
235,4
236,11
237,18
238,10
239,7
240,7
241,10
242,3
243,12
244,11
245,11
246,3
247,1
248,6
249,8
250,8
251,5
252,3
253,8
254,5
255,1
256,3
257,4
258,7
259,5
260,5
261,1
262,4
263,2
264,1
265,3
266,2
267,4
268,0
269,1
270,1
271,1
272,2
273,0
274,1
275,1
276,1
277,0
278,0
279,0
280,1
