day,value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,2
17,4
18,1
19,2
20,1
21,1
22,3
23,1
24,0
25,1
26,0
27,0
28,2
29,0
30,3
31,0
32,2
33,3
34,2
35,0
36,2
37,4
38,3
39,0
40,8
41,3
42,4
43,5
44,10
45,5
46,12
47,14
48,9
49,17
50,20
51,19
52,7
53,9
54,17
55,26
56,23
57,20
58,26
59,14
60,13
61,39
62,22
63,26
64,37
65,17
66,16
67,16
68,22
69,24
70,40
71,45
72,44
73,22
74,22
75,39
76,42
77,47
78,66
79,48
80,37
81,29
82,34
83,47
84,70
85,55
86,75
87,59
88,31
89,64
90,77
91,75
92,92
93,97
94,75
95,62
96,82
97,87
98,103
99,103
100,106
101,102
102,60
103,108
104,107
105,91
106,109
107,84
108,87
109,73
110,104
111,107
112,132
113,97
114,63
115,64
116,62
117,101
118,90
119,88
120,67
121,46
122,57
123,49
124,53
125,94
126,74
127,81
128,76
129,38
130,30
131,36
132,84
133,74
134,64
135,60
136,38
137,40
138,40
139,53
140,46
141,42
142,41
143,34
144,12
145,20
146,33
147,40
148,31
149,23
150,18
151,14
152,23
153,26
154,19
155,20
156,9
157,12
158,12
159,13
160,18
161,15
162,11
163,22
164,7
165,6
166,21
167,12
168,14
169,13
170,9
171,8
172,9
173,9
174,11
175,11
176,10
177,8
178,6
179,8
180,8
181,12
182,8
183,10
184,14
185,7
186,5
187,13
188,6
189,14
190,14
191,13
192,9
193,4
194,14
195,12
196,6
197,21
198,15
199,8
200,6
201,13
202,17
203,23
204,10
205,14
206,7
207,7
208,10
209,11
210,12
211,9
212,1
213,20
214,4
215,11
216,7
217,17
218,13
219,11
220,11
221,13
222,10
223,14
224,10
225,10
226,9
227,10
228,3
229,12
230,7
231,12
232,15
233,10
234,11
235,8
236,10
237,14
238,15
239,19
240,8
241,11
242,10
243,8
244,11
245,15
246,8
247,17
248,4
249,4
250,12
251,6
252,11
253,3
254,7
255,8
256,4
257,3
258,2
259,3
260,3
261,6
262,2
263,3
264,4
265,0
266,4
267,3
268,1
269,0
270,1
271,3
272,0
273,1
274,1
275,1
276,2
277,0
278,1
279,0
280,0
