day,value
1,1
2,2
3,3
4,4
5,1
6,3
7,4
8,2
9,9
10,9
11,4
12,3
13,1
14,5
15,10
16,8
17,12
18,5
19,13
20,3
21,6
22,16
23,3
24,5
25,1
26,5
27,6
28,14
29,4
30,9
31,4
32,10
33,12
34,8
35,11
36,26
37,13
38,21
39,14
40,27
41,23
42,63
43,37
44,68
45,52
46,43
47,48
48,95
49,73
50,73
51,111
52,82
53,40
54,112
55,164
56,176
57,147
58,132
59,112
60,73
61,195
62,126
63,188
64,194
65,136
66,98
67,88
68,152
69,156
70,199
71,218
72,172
73,122
74,90
75,162
76,201
77,195
78,287
79,203
80,154
81,110
82,159
83,218
84,302
85,335
86,383
87,265
88,150
89,274
90,390
91,386
92,533
93,388
94,300
95,228
96,370
97,331
98,428
99,454
100,513
101,477
102,282
103,499
104,433
105,453
106,573
107,392
108,448
109,299
110,457
111,508
112,641
113,460
114,283
115,307
116,291
117,364
118,507
119,482
120,268
121,226
122,195
123,170
124,259
125,419
126,434
127,439
128,430
129,227
130,139
131,232
132,465
133,380
134,304
135,246
136,174
137,138
138,169
139,270
140,229
141,186
142,179
143,160
144,70
145,89
146,174
147,218
148,136
149,123
150,85
151,55
152,115
153,154
154,122
155,114
156,89
157,64
158,32
159,48
160,80
161,95
162,81
163,91
164,38
165,20
166,67
167,82
168,75
169,59
170,65
171,48
172,30
173,36
174,54
175,63
176,66
177,42
178,31
179,22
180,39
181,62
182,53
183,57
184,60
185,26
186,27
187,44
188,37
189,74
190,58
191,72
192,40
193,31
194,60
195,78
196,62
197,86
198,86
199,48
200,38
201,68
202,78
203,65
204,62
205,73
206,42
207,38
208,39
209,64
210,76
211,64
212,41
213,54
214,27
215,56
216,46
217,80
218,87
219,70
220,58
221,50
222,85
223,76
224,75
225,74
226,66
227,44
228,31
229,59
230,71
231,75
232,74
233,61
234,52
235,37
236,57
237,73
238,76
239,58
240,49
241,45
242,32
243,53
244,64
245,56
246,58
247,67
248,33
249,22
250,42
251,42
252,45
253,25
254,20
255,25
256,25
257,29
258,25
259,36
260,25
261,20
262,15
263,8
264,10
265,20
266,13
267,17
268,9
269,8
270,5
271,14
272,12
273,13
274,7
275,7
276,9
277,4
278,6
279,7
280,3
281,4
282,2
283,1
284,1
285,6
286,3
287,2
288,3
289,0
290,1
291,2
292,2
293,2
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,2
303,0
304,0
305,1
306,2
307,2
308,2
309,0
310,1
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,0
329,2
330,0
331,3
332,0
333,3
334,0
335,1
336,1
337,4
338,2
339,1
340,2
341,2
342,5
343,4
344,12
345,1
346,2
347,1
348,7
349,6
350,2
351,4
352,5
353,7
354,2
355,9
356,1
357,2
358,0
359,5
360,5
361,1
362,7
363,9
364,14
365,11
366,6
367,6
368,6
369,9
370,14
371,8
372,4
373,5
374,8
375,5
376,6
377,17
378,9
379,10
380,9
381,6
382,5
383,9
384,13
385,7
386,11
387,8
388,9
389,12
390,13
391,15
392,14
393,16
394,21
395,11
396,10
397,15
398,23
399,23
400,24
401,28
402,20
403,17
404,40
405,36
406,57
407,40
408,76
409,31
410,35
411,65
412,91
413,100
414,106
415,92
416,56
417,48
418,113
419,121
420,167
421,158
422,130
423,126
424,92
425,184
426,221
427,232
428,196
429,198
430,167
431,103
432,185
433,291
434,249
435,288
436,296
437,208
438,118
439,260
440,352
441,249
442,410
443,397
444,271
445,172
446,327
447,432
448,423
449,402
450,383
451,278
452,222
453,321
454,372
455,354
456,337
457,326
458,224
459,155
460,284
461,265
462,298
463,273
464,282
465,181
466,84
467,182
468,245
469,242
470,177
471,151
472,109
473,58
474,117
475,196
476,144
477,125
478,75
479,37
480,52
481,72
482,108
483,109
484,103
485,70
486,32
487,30
488,89
489,108
490,74
491,56
492,61
493,52
494,12
495,44
496,46
497,38
498,30
499,26
500,24
501,10
502,30
503,40
504,43
505,34
506,42
507,36
508,17
509,51
510,72
511,49
512,54
513,71
514,53
515,25
516,77
517,91
518,92
519,120
520,108
521,77
522,54
523,141
524,168
525,185
526,151
527,214
528,85
529,70
530,172
531,232
532,222
533,216
534,206
535,110
536,53
537,229
538,285
539,334
540,275
541,243
542,137
543,94
544,222
545,368
546,390
547,330
548,332
549,202
550,73
551,273
552,469
553,507
554,516
555,373
556,293
557,130
558,383
559,541
560,574
561,554
562,552
563,316
564,125
565,461
