day,value
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,3
10,1
11,1
12,0
13,0
14,0
15,0
16,4
17,6
18,2
19,2
20,1
21,1
22,4
23,2
24,1
25,1
26,1
27,1
28,2
29,1
30,4
31,0
32,2
33,5
34,2
35,2
36,5
37,4
38,3
39,3
40,8
41,4
42,6
43,7
44,13
45,9
46,14
47,17
48,18
49,23
50,30
51,25
52,10
53,12
54,25
55,32
56,30
57,25
58,33
59,25
60,24
61,56
62,33
63,32
64,50
65,30
66,21
67,23
68,40
69,42
70,51
71,62
72,57
73,27
74,32
75,47
76,62
77,63
78,90
79,67
80,56
81,44
82,52
83,61
84,95
85,79
86,104
87,81
88,40
89,87
90,102
91,109
92,122
93,128
94,92
95,86
96,109
97,113
98,131
99,145
100,147
101,131
102,83
103,147
104,154
105,123
106,145
107,106
108,114
109,102
110,151
111,154
112,184
113,135
114,84
115,97
116,96
117,137
118,119
119,124
120,84
121,64
122,77
123,72
124,81
125,138
126,112
127,118
128,105
129,52
130,40
131,61
132,104
133,107
134,95
135,76
136,49
137,45
138,61
139,69
140,56
141,63
142,69
143,47
144,19
145,30
146,40
147,52
148,41
149,30
150,28
151,17
152,33
153,34
154,30
155,25
156,14
157,15
158,13
159,22
160,29
161,25
162,18
163,23
164,9
165,8
166,28
167,24
168,23
169,21
170,12
171,9
172,10
173,11
174,18
175,20
176,14
177,14
178,11
179,8
180,15
181,15
182,17
183,16
184,22
185,16
186,8
187,21
188,10
189,25
190,21
191,20
192,17
193,8
194,25
195,21
196,16
197,38
198,33
199,22
200,13
201,25
202,30
203,32
204,26
205,30
206,16
207,20
208,19
209,21
210,25
211,21
212,15
213,34
214,15
215,23
216,20
217,34
218,28
219,32
220,29
221,19
222,20
223,30
224,24
225,26
226,23
227,22
228,16
229,18
230,21
231,26
232,27
233,23
234,26
235,15
236,21
237,34
238,27
239,27
240,16
241,22
242,17
243,21
244,24
245,28
246,11
247,18
248,12
249,13
250,20
251,11
252,14
253,11
254,12
255,10
256,7
257,7
258,9
259,8
260,9
261,7
262,6
263,6
264,5
265,3
266,7
267,7
268,2
269,1
270,2
271,5
272,2
273,1
274,2
275,2
276,3
277,0
278,1
279,0
280,1
