day,value
1,30
2,25
3,21
4,24
5,34
6,48
7,38
8,58
9,52
10,51
11,32
12,63
13,41
14,59
15,65
16,59
17,57
18,48
19,61
20,55
21,56
22,82
23,52
24,70
25,46
26,68
27,73
28,91
29,84
30,127
31,113
32,81
33,165
34,162
35,187
36,237
37,190
38,223
39,149
40,261
41,309
42,395
43,392
44,464
45,451
46,317
47,454
48,694
49,662
50,704
51,727
52,693
53,534
54,903
55,1053
56,1187
57,1106
58,1043
59,860
60,713
61,1413
62,1125
63,1302
64,1198
65,1084
66,805
67,771
68,1261
69,1305
70,1224
71,1360
72,1366
73,1080
74,858
75,1501
76,1638
77,1398
78,1853
79,1665
80,1218
81,1054
82,1718
83,1716
84,1845
85,1984
86,2122
87,1711
88,1268
89,2335
90,2240
91,2399
92,2719
93,2598
94,2056
95,1778
96,2757
97,2770
98,3004
99,3144
100,2919
101,2866
102,1937
103,3050
104,2882
105,3112
106,3223
107,2847
108,2346
109,2139
110,2800
111,3065
112,3115
113,2361
114,1519
115,1856
116,1803
117,2435
118,2683
119,2632
120,1800
121,1370
122,1488
123,1448
124,2029
125,2507
126,2387
127,2056
128,1993
129,1236
130,882
131,1432
132,1891
133,1671
134,1453
135,1267
136,1017
137,742
138,1094
139,1349
140,1177
141,963
142,961
143,777
144,593
145,707
146,989
147,914
148,682
149,690
150,631
151,426
152,610
153,745
154,677
155,567
156,588
157,422
158,305
159,398
160,557
161,530
162,449
163,456
164,343
165,275
166,507
167,604
168,545
169,464
170,536
171,461
172,326
173,518
174,623
175,577
176,593
177,583
178,458
179,383
180,579
181,680
182,660
183,597
184,652
185,570
186,444
187,689
188,813
189,867
190,844
191,902
192,735
193,640
194,938
195,1117
196,1135
197,1196
198,1150
199,1064
200,785
201,1274
202,1428
203,1345
204,1419
205,1398
206,1156
207,905
208,1192
209,1404
210,1390
211,1403
212,1094
213,973
214,996
215,971
216,1243
217,1594
218,1763
219,1482
220,1342
221,980
222,1516
223,1751
224,1584
225,1306
226,1386
227,1211
228,956
229,1379
230,1781
231,1703
232,1503
233,1515
234,1311
235,959
236,1427
237,1562
238,1450
239,1260
240,1352
241,1093
242,892
243,1086
244,1330
245,1198
246,970
247,977
248,799
249,560
250,727
251,938
252,879
253,554
254,512
255,544
256,380
257,545
258,628
259,492
260,402
261,317
262,303
263,173
264,182
265,305
266,321
267,257
268,223
269,199
270,114
271,167
272,188
273,139
274,100
275,102
276,114
277,51
278,87
279,104
280,71
281,64
282,51
283,35
284,28
285,42
286,33
287,30
288,25
289,27
290,28
291,17
292,26
293,32
294,17
295,20
296,16
297,15
298,14
299,23
300,20
301,16
302,10
303,7
304,8
305,9
306,18
307,22
308,29
309,15
310,19
311,15
312,19
313,31
314,27
315,20
316,19
317,28
318,20
319,22
320,42
321,45
322,34
323,36
324,55
325,34
326,31
327,43
328,56
329,55
330,40
331,38
332,34
333,33
334,55
335,64
336,52
337,69
338,61
339,56
340,49
341,72
342,131
343,104
344,121
345,116
346,100
347,61
348,125
349,127
350,107
351,105
352,129
353,125
354,90
355,137
356,138
357,132
358,119
359,144
360,164
361,114
362,209
363,248
364,226
365,217
366,228
367,210
368,150
369,274
370,343
371,308
372,244
373,270
374,214
375,163
376,282
377,290
378,275
379,244
380,279
381,204
382,181
383,273
384,342
385,301
386,297
387,352
388,327
389,307
390,483
391,587
392,489
393,470
394,500
