day,value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,2
23,1
24,3
25,0
26,0
27,0
28,1
29,1
30,2
31,2
32,0
33,0
34,0
35,4
36,0
37,0
38,3
39,1
40,1
41,0
42,2
43,2
44,3
45,2
46,0
47,1
48,1
49,5
50,5
51,3
52,1
53,5
54,0
55,5
56,9
57,8
58,15
59,2
60,5
61,2
62,18
63,8
64,15
65,21
66,3
67,13
68,3
69,4
70,17
71,32
72,16
73,28
74,9
75,3
76,32
77,21
78,15
79,20
80,24
81,22
82,19
83,15
84,28
85,10
86,80
87,58
88,24
89,40
90,43
91,45
92,73
93,59
94,82
95,55
96,13
97,15
98,74
99,47
100,77
101,86
102,61
103,50
104,0
105,153
106,68
107,90
108,119
109,84
110,36
111,63
112,94
113,153
114,96
115,24
116,24
117,27
118,105
119,165
120,136
121,127
122,36
123,51
124,25
125,34
126,90
127,124
128,188
129,167
130,83
131,66
132,66
133,127
134,260
135,211
136,188
137,97
138,25
139,52
140,151
141,126
142,84
143,153
144,52
145,8
146,69
147,121
148,82
149,151
150,101
151,34
152,1
153,78
154,102
155,91
156,99
157,80
158,25
159,31
160,22
161,79
162,104
163,45
164,62
165,21
166,8
167,55
168,56
169,48
170,57
171,92
172,14
173,3
174,34
175,35
176,45
177,39
178,94
179,48
180,5
181,57
182,44
183,48
184,31
185,43
186,3
187,0
188,14
189,38
190,33
191,26
192,14
193,6
194,0
195,9
196,24
197,18
198,18
199,12
200,22
201,0
202,16
203,36
204,18
205,13
206,20
207,6
208,3
209,6
210,22
211,13
212,32
213,20
214,5
215,2
216,1
217,16
218,26
219,34
220,35
221,11
222,3
223,15
224,39
225,42
226,43
227,27
228,11
229,0
230,21
231,35
232,39
233,33
234,46
235,24
236,7
237,50
238,26
239,25
240,27
241,37
242,11
243,4
244,28
245,31
246,28
247,27
248,30
249,5
250,4
251,18
252,25
253,26
254,25
255,5
256,2
257,6
258,7
259,68
260,28
261,35
262,28
263,13
264,5
265,3
266,17
267,28
268,13
269,31
270,19
271,8
272,11
273,26
274,41
275,16
276,38
277,43
278,8
279,35
280,16
