day,7T_Hospitalisierung_Faelle
1,4
2,4
3,5
4,7
5,8
6,8
7,9
8,9
9,12
10,17
11,19
12,19
13,22
14,26
15,27
16,29
17,31
18,31
19,34
20,38
21,44
22,48
23,50
24,50
25,51
26,50
27,47
28,43
29,44
30,51
31,49
32,51
33,48
34,53
35,61
36,63
37,71
38,84
39,89
40,95
41,113
42,126
43,141
44,150
45,172
46,183
47,185
48,198
49,215
50,236
51,248
52,269
53,290
54,305
55,352
56,388
57,424
58,460
59,497
60,514
61,532
62,548
63,560
64,572
65,611
66,597
67,605
68,601
69,620
70,647
71,636
72,646
73,658
74,665
75,677
76,657
77,683
78,676
79,667
80,697
81,722
82,746
83,780
84,778
85,854
86,912
87,921
88,949
89,945
90,961
91,997
92,1042
93,1082
94,1127
95,1095
96,1117
97,1157
98,1164
99,1146
100,1147
101,1159
102,1226
103,1237
104,1275
105,1298
106,1338
107,1309
108,1285
109,1255
110,1262
111,1260
112,1352
113,1345
114,1361
115,1301
116,1339
117,1404
118,1410
119,1409
120,1416
121,1329
122,1316
123,1265
124,1198
125,1141
126,1074
127,1019
128,1069
129,1121
130,1091
131,1020
132,966
133,873
134,843
135,793
136,735
137,711
138,720
139,693
140,665
141,629
142,597
143,601
144,601
145,609
146,586
147,570
148,568
149,572
150,538
151,529
152,513
153,505
154,493
155,489
156,478
157,486
158,471
159,457
160,437
161,414
162,373
163,342
164,304
165,284
166,285
167,292
168,288
169,298
170,296
171,300
172,301
173,296
174,293
175,287
176,285
177,288
178,298
179,300
180,297
181,310
182,334
183,331
184,323
185,332
186,345
187,349
188,354
189,342
190,341
191,366
192,385
193,390
194,387
195,381
196,413
197,416
198,439
199,452
200,454
201,471
202,503
203,497
204,530
205,538
206,535
207,541
208,542
209,528
210,522
211,532
212,527
213,487
214,475
215,484
216,469
217,473
218,501
219,524
220,578
221,591
222,602
223,633
224,658
225,647
226,613
227,593
228,594
229,578
230,581
231,584
232,546
233,545
234,554
235,555
236,556
237,536
238,511
239,499
240,488
241,471
242,472
243,468
244,478
245,467
246,485
247,472
248,466
249,454
250,445
251,417
252,395
253,384
254,370
255,350
256,339
257,337
258,330
259,321
260,293
261,279
262,278
263,262
264,249
265,205
266,204
267,187
268,178
269,152
270,146
271,137
272,154
273,123
274,106
275,96
276,86
277,83
278,83
279,66
280,56
281,52
282,49
283,50
284,43
285,43
286,42
287,42
288,34
289,32
290,29
291,29
292,26
293,23
294,21
295,22
296,21
297,20
298,20
299,21
300,16
301,11
302,8
303,7
304,6
305,5
306,4
307,7
308,9
309,11
310,11
311,10
312,12
313,12
314,14
315,16
316,15
317,14
318,16
319,16
320,16
321,13
322,12
323,12
324,12
325,14
326,12
327,13
328,11
329,11
330,12
331,16
332,15
333,15
334,14
335,20
336,22
337,21
338,20
339,21
340,25
341,26
342,21
343,21
344,25
345,29
346,31
347,29
348,29
349,31
350,36
351,41
352,38
353,37
354,44
355,44
356,45
357,48
358,43
359,46
