calendar_week_date;students_infected_weekly
2020-11-12;198
2020-11-18;145
2020-11-26;380
2020-12-06;858
2020-12-11;930
2021-02-25;136
2021-03-04;248
2021-03-11;401
2021-03-18;662
2021-03-25;896
2021-04-15;698
2021-04-22;1331
2021-04-29;1136
2021-05-06;760
2021-05-12;597
2021-05-20;456
2021-05-27;375
2021-06-03;271
2021-06-10;190
2021-06-17;119
2021-06-24;97
2021-07-01;73
2021-07-08;43
2021-07-15;28
2021-07-22;25
2021-09-09;197
2021-09-16;438
2021-09-23;523
2021-09-30;699
2021-10-07;981
2021-10-14;1236
2021-11-04;1506
2021-11-11;6085
2021-11-18;12301
2021-11-25;15083
2021-12-02;14021
2021-12-09;11902
2021-12-16;9968
2022-01-06;1572
2022-01-13;2656
2022-01-20;4108
2022-01-27;7983
2022-02-03;12429
2022-02-10;14986
2022-03-03;4078
2022-03-10;11649
2022-03-17;20620
2022-03-24;21740
2022-04-01;12916
2022-04-07;8054
2022-04-14;5232
